"id","demo_gender","demo_age","demo_age_group","demo_country","demo_education","pre_news_frequency","pre_platform","pre_favourite_topic_1","pre_least_favourite_topic_1","pre_favourite_topic_2","pre_least_favourite_topic_2","pre_enjoy_topic_1","pre_enjoy_topic_2","pre_avoid_topic_1","pre_avoid_topic_2","pre_attention_check","pre_avoid_news","pre_avoid_reasons","pre_avoid_other","explanation_pair"
188,"Male",24,"16–24","Indiana","High school","Several times a day","Social media","International News","Finance","Tech","Lifestyle",6,7,6,7,"BBC","regularly","[""not_relevant""]","","Recommended by 82% of readers your age in your region | Trending right now"
189,"Female",21,"16–24","North Carolina","Bachelor's degree","Several times a day","Social media","Business & Economics","International News","Personal Health & Wellbeing","Tech",6,5,5,5,"BBC","occasionally","[""negative_mood""]","","Recommended by 82% of readers your age in your region | "
190,"Female",27,"25–34","Massachusetts","Some college","Several times a day","Social media","Crime","Finance","Entertainment","Sports",7,7,5,5,"BBC","no","[""not_trust""]","","Breaks topic into key points without unnecessary details | Focuses on solutions and constructive ways forward"
191,"Male",29,"25–34","Colorado","Bachelor's degree","Once a day","News websites","Business & Economics","Crime","Science","Entertainment",6,5,6,5,"BBC","occasionally","[""negative_mood"", ""not_relevant""]","","Breaks topic into key points without unnecessary details | Trending right now"
192,"Non-binary",30,"25–34","Michigan","Some college","Several times a week","Social media","Public Health & Health Policy","Finance","Science","Sports",4,6,5,7,"BBC","regularly","[""too_much"", ""not_trust""]","","Breaks topic into key points without unnecessary details | "
193,"Male",19,"16–24","Pennsylvania","High school","About once a week","Social media","International News","Finance","Tech","Sports",5,6,5,5,"BBC","occasionally","[""not_relevant"", ""not_trust""]","","Focuses on solutions and constructive ways forward | Trending right now"
194,"Male",24,"16–24","Pennsylvania","Bachelor's degree","Several times a day","News websites","Politics","International News","Sports","Lifestyle",6,7,6,6,"BBC","occasionally","[""too_much"", ""not_relevant""]","","Focuses on solutions and constructive ways forward | "
195,"Male",35,"35–44","Vermont","High school","Once a day","News apps","Politics","International News","Lifestyle","Science",5,5,3,3,"BBC","occasionally","[""negative_mood""]","","Trending right now | "
197,"Male",23,"16–24","Pennsylvania","Bachelor's degree","Several times a day","News apps","Politics","Finance","Tech","Sports",6,6,4,5,"BBC","occasionally","[""not_relevant""]","","Fact-checked for accuracy | Breaks topic into key points without unnecessary details"
198,"Female",34,"25–34","New York","Doctorate degree","Several times a week","Social media","Business & Economics","Politics","Lifestyle","Sports",7,7,7,6,"BBC","regularly","[""negative_mood"", ""too_much""]","","Fact-checked for accuracy | Focuses on solutions and constructive ways forward"
199,"Male",26,"25–34","Massachusetts","Master's degree","Several times a day","Social media","International News","Politics","Sports","Science",6,7,4,5,"BBC","occasionally","[""too_much"", ""not_relevant""]","","Fact-checked for accuracy | Trending right now"
200,"Male",22,"16–24","Georgia","High school","Several times a day","Social media","Finance","Public Health & Health Policy","Tech","Entertainment",7,6,5,5,"BBC","occasionally","[""negative_mood"", ""not_relevant""]","","Fact-checked for accuracy | "
201,"Male",33,"25–34","Missouri","Bachelor's degree","Several times a week","Social media","Finance","Crime","Tech","Lifestyle",7,7,5,5,"BBC","occasionally","[""negative_mood""]","","Recommended by 82% of readers your age in your region | Breaks topic into key points without unnecessary details"
202,"Male",29,"25–34","New York","Bachelor's degree","Several times a day","Other: email newsletter","International News","Crime","Personal Health & Wellbeing","Entertainment",7,7,7,4,"BBC","occasionally","[""not_relevant"", ""not_trust""]","","Recommended by 82% of readers your age in your region | Focuses on solutions and constructive ways forward"
203,"Female",23,"16–24","Ohio","Bachelor's degree","Several times a day","Social media","Politics","Finance","Lifestyle","Sports",5,7,7,1,"BBC","occasionally","[""negative_mood"", ""not_trust""]","","Recommended by 82% of readers your age in your region | Trending right now"
204,"Male",27,"25–34","Maryland","Master's degree","Several times a week","News aggregators (e.g. Google News, Apple News)","International News","Crime","Sports","Entertainment",7,7,5,4,"BBC","particular_topics","[""negative_mood"", ""too_much""]","","Recommended by 82% of readers your age in your region | "
205,"Female",19,"16–24","New York","Associates degree","Once a day","News apps","Public Health & Health Policy","Business & Economics","Personal Health & Wellbeing","Tech",7,7,5,5,"BBC","occasionally","[""negative_mood"", ""not_trust""]","","Breaks topic into key points without unnecessary details | Focuses on solutions and constructive ways forward"
206,"Male",23,"16–24","New Jersey","Bachelor's degree","Several times a day","Social media","Politics","Crime","Sports","Entertainment",5,7,6,2,"BBC","regularly","[""negative_mood"", ""not_trust""]","","Breaks topic into key points without unnecessary details | Trending right now"
207,"Male",34,"25–34","Illinois","Bachelor's degree","Several times a day","News aggregators (e.g. Google News, Apple News)","Finance","Politics","Tech","Lifestyle",7,7,6,6,"BBC","occasionally","[""negative_mood"", ""too_much""]","","Breaks topic into key points without unnecessary details | "
208,"Female",28,"25–34","Texas","Bachelor's degree","Several times a day","Social media","Public Health & Health Policy","Politics","Science","Sports",7,7,7,7,"BBC","particular_topics","[""negative_mood"", ""too_much""]","","Focuses on solutions and constructive ways forward | Trending right now"
209,"Male",23,"16–24","Minnesota","Bachelor's degree","Several times a day","Social media","Business & Economics","Crime","Tech","Lifestyle",6,5,2,3,"BBC","regularly","[""negative_mood"", ""too_much""]","","Focuses on solutions and constructive ways forward | "
210,"Male",25,"25–34","New Jersey","Master's degree","Once a day","Social media","Public Health & Health Policy","Crime","Tech","Science",5,6,3,5,"BBC","particular_topics","[""negative_mood"", ""too_much""]","","Trending right now | "
211,"Female",32,"25–34","Texas","Bachelor's degree","Several times a day","Social media","Crime","Finance","Entertainment","Sports",5,7,6,6,"BBC","particular_topics","[""negative_mood"", ""too_much""]","","Fact-checked for accuracy | Recommended by 82% of readers your age in your region"
212,"Male",28,"25–34","Arizona","High school","Several times a day","News aggregators (e.g. Google News, Apple News)","Politics","International News","Entertainment","Sports",7,7,2,7,"BBC","no","[""other: I don't avoid the news""]","I don't avoid the news","Fact-checked for accuracy | Breaks topic into key points without unnecessary details"
213,"Female",33,"25–34","Texas","Associates degree","About once a week","Social media","Crime","Politics","Lifestyle","Sports",5,6,2,6,"BBC","occasionally","[""negative_mood"", ""too_much""]","","Fact-checked for accuracy | Focuses on solutions and constructive ways forward"
214,"Male",35,"35–44","Indiana","Bachelor's degree","Several times a day","Social media","Politics","Business & Economics","Sports","Tech",4,7,6,5,"BBC","regularly","[""negative_mood"", ""not_relevant""]","","Fact-checked for accuracy | Trending right now"
215,"Male",33,"25–34","Vermont","Some college","Several times a day","News apps","International News","Public Health & Health Policy","Lifestyle","Entertainment",6,6,6,6,"BBC","occasionally","[""negative_mood"", ""too_much""]","","Fact-checked for accuracy | "
216,"Female",33,"25–34","New York","Bachelor's degree","Several times a week","News websites","Business & Economics","Politics","Lifestyle","Sports",5,6,6,4,"BBC","regularly","[""negative_mood"", ""not_trust""]","","Recommended by 82% of readers your age in your region | Breaks topic into key points without unnecessary details"
217,"Male",29,"25–34","Maryland","Bachelor's degree","Once a day","News websites","Business & Economics","Crime","Sports","Entertainment",7,7,5,5,"BBC","occasionally","[""too_much"", ""not_relevant""]","","Recommended by 82% of readers your age in your region | Focuses on solutions and constructive ways forward"
218,"Male",32,"25–34","Louisiana","Bachelor's degree","Several times a week","News websites","Crime","Politics","Science","Entertainment",5,7,4,7,"BBC","occasionally","[""negative_mood"", ""not_trust""]","","Recommended by 82% of readers your age in your region | Trending right now"
219,"Male",25,"25–34","Ohio","Bachelor's degree","Several times a day","Social media","Politics","Business & Economics","Tech","Lifestyle",6,6,3,3,"BBC","regularly","[""not_relevant""]","","Recommended by 82% of readers your age in your region | "
220,"Male",30,"25–34","Massachusetts","Bachelor's degree","Several times a day","Social media","International News","Crime","Personal Health & Wellbeing","Entertainment",7,7,7,7,"BBC","particular_topics","[""negative_mood"", ""not_relevant""]","","Breaks topic into key points without unnecessary details | Focuses on solutions and constructive ways forward"
221,"Male",35,"35–44","Pennsylvania","High school","Less than once a month","News websites","Crime","International News","Tech","Sports",6,6,7,7,"BBC","particular_topics","[""not_relevant""]","","Breaks topic into key points without unnecessary details | Trending right now"
222,"Male",31,"25–34","Alabama","Some college","Several times a day","News websites","Business & Economics","Crime","Tech","Entertainment",5,7,3,2,"BBC","regularly","[""negative_mood"", ""too_much""]","","Breaks topic into key points without unnecessary details | "
224,"Female",26,"25–34","New York","Bachelor's degree","Several times a day","News websites","Politics","Finance","Science","Sports",5,5,3,6,"BBC","occasionally","[""negative_mood"", ""not_relevant""]","","Focuses on solutions and constructive ways forward | "
225,"Female",47,"45–54","North Carolina","Some college","Once a day","Social media","Crime","Finance","Tech","Sports",6,7,6,6,"BBC","occasionally","[""negative_mood"", ""not_relevant""]","","Trending right now | "
226,"Female",66,"65 or older","Massachusetts","Bachelor's degree","Once a day","News websites","Business & Economics","Crime","Tech","Entertainment",7,7,7,7,"BBC","regularly","[""negative_mood"", ""not_trust""]","","Fact-checked for accuracy | Recommended by 82% of readers your age in your region"
227,"Female",38,"35–44","Michigan","Some college","Several times a week","Social media","Crime","Politics","Entertainment","Tech",5,6,5,7,"BBC","regularly","[""negative_mood"", ""too_much""]","","Fact-checked for accuracy | Breaks topic into key points without unnecessary details"
228,"Male",32,"25–34","California","Bachelor's degree","Several times a day","Social media","Politics","International News","Sports","Lifestyle",7,7,2,7,"BBC","occasionally","[""not_relevant""]","","Fact-checked for accuracy | Focuses on solutions and constructive ways forward"
229,"Female",58,"55–64","Mississippi","Some college","Several times a day","Other: local live","Business & Economics","Politics","Personal Health & Wellbeing","Science",7,7,5,6,"BBC","particular_topics","[""negative_mood"", ""too_much""]","","Fact-checked for accuracy | Trending right now"
230,"Male",31,"25–34","New Jersey","Associates degree","Several times a day","News apps","International News","Crime","Science","Sports",7,7,6,7,"BBC","regularly","[""not_relevant""]","","Fact-checked for accuracy | "
231,"Female",31,"25–34","California","Elementary school","Once a day","News apps","International News","Politics","Science","Sports",6,7,3,7,"BBC","regularly","[""negative_mood"", ""not_relevant""]","","Recommended by 82% of readers your age in your region | Breaks topic into key points without unnecessary details"
232,"Male",23,"16–24","North Carolina","High school","Several times a week","Social media","Finance","Politics","Sports","Science",7,7,4,4,"BBC","regularly","[""too_much"", ""not_relevant""]","","Recommended by 82% of readers your age in your region | Focuses on solutions and constructive ways forward"
233,"Female",73,"65 or older","South Carolina","Master's degree","Several times a day","Other: TV","Politics","Finance","Personal Health & Wellbeing","Science",6,6,6,6,"BBC","regularly","[""negative_mood""]","","Recommended by 82% of readers your age in your region | Trending right now"
234,"Male",51,"45–54","Florida","Associates degree","Several times a day","News aggregators (e.g. Google News, Apple News)","Crime","Politics","Sports","Personal Health & Wellbeing",5,6,6,5,"BBC","particular_topics","[""negative_mood"", ""too_much""]","","Recommended by 82% of readers your age in your region | "
235,"Female",35,"35–44","Connecticut","Bachelor's degree","Several times a day","Other: social media, apple news app, tv, radio","Politics","Finance","Entertainment","Lifestyle",7,7,3,7,"BBC","occasionally","[""negative_mood"", ""too_much""]","","Breaks topic into key points without unnecessary details | Focuses on solutions and constructive ways forward"
236,"Male",43,"35–44","Nevada","Bachelor's degree","Several times a day","News websites","Business & Economics","Public Health & Health Policy","Sports","Lifestyle",7,7,7,7,"BBC","regularly","[""not_relevant""]","","Breaks topic into key points without unnecessary details | Trending right now"
237,"Male",42,"35–44","New Jersey","Some college","Several times a day","News aggregators (e.g. Google News, Apple News)","International News","Business & Economics","Entertainment","Lifestyle",7,7,2,6,"BBC","occasionally","[""negative_mood"", ""too_much""]","","Breaks topic into key points without unnecessary details | "
238,"Female",43,"35–44","Connecticut","Master's degree","Several times a day","News aggregators (e.g. Google News, Apple News)","Politics","Crime","Lifestyle","Sports",5,6,6,7,"BBC","regularly","[""too_much"", ""not_trust""]","","Focuses on solutions and constructive ways forward | Trending right now"
239,"Male",29,"25–34","Florida","Bachelor's degree","Several times a day","Social media","Politics","Finance","Entertainment","Sports",6,6,7,7,"BBC","particular_topics","[""too_much"", ""not_relevant""]","","Focuses on solutions and constructive ways forward | "
240,"Male",24,"16–24","South Carolina","Some college","About once or twice a month","News aggregators (e.g. Google News, Apple News)","International News","Politics","Tech","Entertainment",1,6,1,1,"BBC","particular_topics","[""negative_mood"", ""too_much""]","","Trending right now | "
242,"Female",25,"25–34","New York","Bachelor's degree","Several times a day","Social media","Public Health & Health Policy","Finance","Personal Health & Wellbeing","Sports",6,6,3,3,"BBC","occasionally","[""negative_mood"", ""too_much""]","","Fact-checked for accuracy | Breaks topic into key points without unnecessary details"
243,"Non-binary",57,"55–64","Florida","Associates degree","Once a day","News aggregators (e.g. Google News, Apple News)","Politics","Finance","Entertainment","Sports",6,6,2,7,"BBC","occasionally","[""negative_mood""]","","Fact-checked for accuracy | Focuses on solutions and constructive ways forward"
244,"Male",32,"25–34","Illinois","High school","Several times a day","Social media","International News","Politics","Entertainment","Sports",5,5,6,7,"BBC","particular_topics","[""negative_mood"", ""too_much""]","","Fact-checked for accuracy | Trending right now"
245,"Male",34,"25–34","Texas","Bachelor's degree","Several times a week","Social media","Business & Economics","Politics","Personal Health & Wellbeing","Lifestyle",6,6,6,3,"BBC","occasionally","[""not_relevant"", ""not_trust""]","","Fact-checked for accuracy | "
246,"Male",30,"25–34","Florida","Bachelor's degree","Several times a day","Social media","Public Health & Health Policy","Finance","Entertainment","Tech",7,7,7,1,"BBC","regularly","[""negative_mood"", ""too_much""]","","Recommended by 82% of readers your age in your region | Breaks topic into key points without unnecessary details"
247,"Male",30,"25–34","Colorado","Bachelor's degree","About once a week","Social media","International News","Business & Economics","Sports","Tech",4,6,6,6,"BBC","occasionally","[""negative_mood"", ""too_much""]","","Recommended by 82% of readers your age in your region | Focuses on solutions and constructive ways forward"
248,"Male",35,"35–44","Colorado","Some college","Several times a day","News websites","Politics","Crime","Entertainment","Lifestyle",5,4,3,7,"BBC","regularly","[""negative_mood"", ""not_trust""]","","Recommended by 82% of readers your age in your region | Trending right now"
249,"Male",23,"16–24","Washington","High school","Several times a week","Social media","Politics","Finance","Entertainment","Sports",5,6,5,7,"BBC","regularly","[""negative_mood""]","","Recommended by 82% of readers your age in your region | "
250,"Male",23,"16–24","New York","Bachelor's degree","Several times a day","Other: email","International News","Public Health & Health Policy","Science","Personal Health & Wellbeing",5,7,2,1,"BBC","particular_topics","[""negative_mood"", ""too_much""]","","Breaks topic into key points without unnecessary details | Focuses on solutions and constructive ways forward"
251,"Male",21,"16–24","Indiana","High school","Several times a day","Social media","Business & Economics","Crime","Tech","Lifestyle",7,7,3,5,"BBC","occasionally","[""too_much"", ""not_relevant""]","","Breaks topic into key points without unnecessary details | Trending right now"
252,"Female",20,"16–24","California","Some college","Several times a week","Social media","Politics","Finance","Science","Lifestyle",1,7,6,5,"BBC","regularly","[""negative_mood"", ""too_much""]","","Breaks topic into key points without unnecessary details | "
253,"Non-binary",24,"16–24","Pennsylvania","Some college","Once a day","Social media","Public Health & Health Policy","Business & Economics","Science","Sports",6,7,5,7,"BBC","occasionally","[""negative_mood"", ""not_trust""]","","Focuses on solutions and constructive ways forward | Trending right now"
254,"Female",29,"25–34","Texas","Master's degree","Several times a day","Social media","Politics","Finance","Personal Health & Wellbeing","Tech",6,7,4,4,"BBC","regularly","[""negative_mood"", ""not_trust""]","","Focuses on solutions and constructive ways forward | "
255,"Male",33,"25–34","Tennessee","Professional degree beyond a bachelor's degree","Several times a day","Social media","Politics","Crime","Sports","Entertainment",6,6,3,6,"BBC","no","[""negative_mood""]","","Trending right now | "
256,"Male",33,"25–34","Maryland","Bachelor's degree","Several times a day","Social media","Public Health & Health Policy","Crime","Entertainment","Science",7,7,3,3,"BBC","regularly","[""too_much""]","","Fact-checked for accuracy | Recommended by 82% of readers your age in your region"
257,"Female",28,"25–34","Colorado","Bachelor's degree","Several times a week","Social media","International News","Finance","Lifestyle","Sports",6,6,6,6,"BBC","regularly","[""negative_mood""]","","Fact-checked for accuracy | Breaks topic into key points without unnecessary details"
258,"Female",22,"16–24","Illinois","Some college","About once a week","Social media","Politics","Finance","Entertainment","Sports",3,3,7,7,"BBC","regularly","[""negative_mood"", ""not_trust""]","","Fact-checked for accuracy | Focuses on solutions and constructive ways forward"
259,"Female",35,"35–44","Texas","Some college","Several times a day","News apps","Crime","Business & Economics","Sports","Science",7,7,1,1,"BBC","occasionally","[""too_much"", ""not_relevant""]","","Fact-checked for accuracy | Trending right now"
260,"Male",30,"25–34","Arizona","Doctorate degree","Several times a day","News aggregators (e.g. Google News, Apple News)","Politics","Crime","Tech","Entertainment",7,7,2,2,"BBC","occasionally","[""too_much"", ""not_trust""]","","Fact-checked for accuracy | "
261,"Male",30,"25–34","California","Bachelor's degree","Several times a day","Social media","Politics","Crime","Tech","Entertainment",7,7,7,2,"BBC","occasionally","[""not_relevant""]","","Recommended by 82% of readers your age in your region | Breaks topic into key points without unnecessary details"
262,"Male",32,"25–34","New Jersey","Bachelor's degree","Several times a day","Social media","Finance","Crime","Personal Health & Wellbeing","Entertainment",7,7,2,6,"BBC","regularly","[""negative_mood""]","","Recommended by 82% of readers your age in your region | Focuses on solutions and constructive ways forward"
263,"Female",35,"35–44","Texas","Bachelor's degree","Several times a week","News websites","Public Health & Health Policy","Finance","Science","Sports",7,7,4,6,"BBC","regularly","[""negative_mood"", ""too_much""]","","Recommended by 82% of readers your age in your region | Trending right now"
264,"Female",31,"25–34","New Jersey","Bachelor's degree","Several times a week","Social media","Public Health & Health Policy","International News","Entertainment","Sports",5,6,5,2,"BBC","occasionally","[""negative_mood""]","","Recommended by 82% of readers your age in your region | "
265,"Male",25,"25–34","North Carolina","Some college","Several times a day","Social media","Politics","Finance","Sports","Tech",6,7,1,1,"BBC","particular_topics","[""negative_mood"", ""not_trust""]","","Breaks topic into key points without unnecessary details | Focuses on solutions and constructive ways forward"
266,"Female",31,"25–34","North Carolina","Master's degree","Several times a day","Social media","Crime","Finance","Science","Entertainment",6,7,2,6,"BBC","particular_topics","[""negative_mood"", ""too_much""]","","Breaks topic into key points without unnecessary details | Trending right now"
267,"Male",31,"25–34","Indiana","Some college","Once a day","Social media","Finance","Politics","Sports","Lifestyle",7,7,7,7,"BBC","regularly","[""too_much"", ""not_relevant""]","","Breaks topic into key points without unnecessary details | "
268,"Male",33,"25–34","Virginia","High school","Once a day","News aggregators (e.g. Google News, Apple News)","Finance","International News","Entertainment","Personal Health & Wellbeing",6,7,4,5,"BBC","occasionally","[""negative_mood"", ""not_relevant""]","","Focuses on solutions and constructive ways forward | Trending right now"
269,"Female",24,"16–24","New York","Bachelor's degree","Several times a week","Social media","Public Health & Health Policy","Politics","Lifestyle","Sports",6,6,6,7,"BBC","regularly","[""negative_mood"", ""too_much""]","","Focuses on solutions and constructive ways forward | "
270,"Female",26,"25–34","Virginia","Bachelor's degree","Once a day","Social media","Politics","Business & Economics","Entertainment","Sports",5,7,5,7,"BBC","occasionally","[""negative_mood"", ""too_much""]","","Trending right now | "
271,"Male",31,"25–34","Indiana","Professional degree beyond a bachelor's degree","Several times a day","Social media","Politics","Finance","Tech","Lifestyle",7,7,6,6,"BBC","regularly","[""too_much"", ""not_relevant""]","","Fact-checked for accuracy | Recommended by 82% of readers your age in your region"
272,"Male",34,"25–34","New York","High school","Several times a week","Social media","Business & Economics","Crime","Sports","Lifestyle",6,7,5,5,"BBC","occasionally","[""negative_mood"", ""not_relevant""]","","Fact-checked for accuracy | Breaks topic into key points without unnecessary details"
274,"Female",30,"25–34","Indiana","Associates degree","Once a day","Social media","Politics","Business & Economics","Science","Sports",5,7,7,7,"BBC","regularly","[""negative_mood"", ""too_much""]","","Fact-checked for accuracy | Trending right now"
275,"Male",29,"25–34","New Jersey","Bachelor's degree","Several times a week","News websites","Public Health & Health Policy","Crime","Personal Health & Wellbeing","Entertainment",6,5,4,4,"BBC","occasionally","[""negative_mood"", ""too_much""]","","Fact-checked for accuracy | "
276,"Male",27,"25–34","Idaho","Bachelor's degree","Several times a week","News websites","Finance","Public Health & Health Policy","Sports","Lifestyle",6,6,2,2,"BBC","occasionally","[""negative_mood"", ""not_relevant""]","","Recommended by 82% of readers your age in your region | Breaks topic into key points without unnecessary details"
277,"Male",30,"25–34","New York","Some college","Several times a week","News websites","Finance","Public Health & Health Policy","Sports","Science",7,7,5,5,"BBC","occasionally","[""negative_mood"", ""not_relevant""]","","Recommended by 82% of readers your age in your region | Focuses on solutions and constructive ways forward"
278,"Male",29,"25–34","New York","Bachelor's degree","Several times a week","News apps","Public Health & Health Policy","Politics","Sports","Lifestyle",6,6,7,4,"BBC","occasionally","[""negative_mood"", ""too_much""]","","Recommended by 82% of readers your age in your region | Trending right now"
279,"Female",26,"25–34","Massachusetts","Bachelor's degree","Once a day","Social media","Politics","International News","Entertainment","Sports",4,7,3,6,"BBC","occasionally","[""negative_mood"", ""too_much""]","","Recommended by 82% of readers your age in your region | "
280,"Male",30,"25–34","New Hampshire","High school","Several times a week","News apps","Public Health & Health Policy","Politics","Tech","Sports",5,5,6,6,"BBC","occasionally","[""negative_mood"", ""too_much""]","","Breaks topic into key points without unnecessary details | Focuses on solutions and constructive ways forward"
281,"Female",23,"16–24","Florida","Bachelor's degree","About once a week","News websites","Public Health & Health Policy","Crime","Entertainment","Tech",5,6,4,6,"BBC","no","[""negative_mood"", ""not_relevant""]","","Breaks topic into key points without unnecessary details | Trending right now"
282,"Male",34,"25–34","New Jersey","Bachelor's degree","Several times a day","Social media","International News","Finance","Sports","Tech",7,7,2,3,"BBC","occasionally","[""not_relevant""]","","Breaks topic into key points without unnecessary details | "
283,"Female",31,"25–34","Idaho","Some college","Several times a week","Social media","Business & Economics","Politics","Science","Sports",5,5,4,7,"BBC","regularly","[""negative_mood""]","","Focuses on solutions and constructive ways forward | Trending right now"
284,"Female",30,"25–34","Washington","Master's degree","Several times a week","News websites","Politics","Finance","Sports","Tech",6,6,5,6,"BBC","occasionally","[""negative_mood"", ""not_trust""]","","Focuses on solutions and constructive ways forward | "
285,"Male",27,"25–34","Louisiana","Some college","Several times a day","Social media","International News","Crime","Entertainment","Lifestyle",5,6,3,4,"BBC","occasionally","[""not_relevant"", ""not_trust""]","","Trending right now | "
286,"Male",25,"25–34","Florida","Bachelor's degree","Once a day","News websites","Business & Economics","Politics","Personal Health & Wellbeing","Lifestyle",2,6,6,5,"BBC","occasionally","[""negative_mood"", ""not_relevant""]","","Fact-checked for accuracy | Recommended by 82% of readers your age in your region"
287,"Male",23,"16–24","California","Bachelor's degree","Once a day","News aggregators (e.g. Google News, Apple News)","Business & Economics","Public Health & Health Policy","Tech","Lifestyle",6,7,4,5,"BBC","occasionally","[""negative_mood"", ""too_much""]","","Fact-checked for accuracy | Breaks topic into key points without unnecessary details"
288,"Female",24,"16–24","Florida","Master's degree","Once a day","News apps","Finance","Politics","Entertainment","Sports",5,7,6,5,"BBC","regularly","[""too_much"", ""not_relevant""]","","Fact-checked for accuracy | Focuses on solutions and constructive ways forward"
289,"Female",32,"25–34","Utah","Bachelor's degree","Several times a day","Social media","Crime","Business & Economics","Entertainment","Tech",6,6,2,6,"BBC","particular_topics","[""negative_mood"", ""too_much""]","","Fact-checked for accuracy | Trending right now"
290,"Female",59,"55–64","Illinois","Some college","Once a day","News aggregators (e.g. Google News, Apple News)","Crime","Politics","Personal Health & Wellbeing","Tech",7,7,7,3,"BBC","regularly","[""negative_mood"", ""not_relevant""]","","Fact-checked for accuracy | "
291,"Female",62,"55–64","Virginia","Bachelor's degree","Several times a day","Social media","International News","Business & Economics","Entertainment","Sports",6,6,4,7,"BBC","regularly","[""negative_mood"", ""too_much""]","","Recommended by 82% of readers your age in your region | Breaks topic into key points without unnecessary details"
292,"Male",50,"45–54","Rhode Island","Associates degree","Several times a day","News aggregators (e.g. Google News, Apple News)","Politics","Public Health & Health Policy","Entertainment","Sports",6,6,5,5,"BBC","occasionally","[""negative_mood"", ""not_trust""]","","Recommended by 82% of readers your age in your region | Focuses on solutions and constructive ways forward"
293,"Male",19,"16–24","California","Some college","Several times a day","News websites","Politics","International News","Tech","Lifestyle",5,7,3,2,"BBC","regularly","[""negative_mood"", ""too_much""]","","Recommended by 82% of readers your age in your region | Trending right now"
294,"Female",53,"45–54","Arizona","Master's degree","Several times a day","News websites","Politics","Finance","Personal Health & Wellbeing","Sports",6,7,1,7,"BBC","regularly","[""negative_mood"", ""too_much""]","","Recommended by 82% of readers your age in your region | "
295,"Male",60,"55–64","Indiana","Bachelor's degree","Several times a day","News websites","International News","Finance","Tech","Sports",7,7,7,7,"BBC","regularly","[""negative_mood"", ""not_relevant""]","","Breaks topic into key points without unnecessary details | Focuses on solutions and constructive ways forward"
296,"Female",37,"35–44","Wisconsin","Associates degree","Several times a day","News websites","Crime","Finance","Entertainment","Tech",7,7,7,7,"BBC","regularly","[""negative_mood"", ""not_trust""]","","Breaks topic into key points without unnecessary details | Trending right now"
